1	1143548.619	3516657.763	241.57	0.614 	1	1
2	1143548.617	3516657.763	241.581	0.613 	1	1
3	1143548.604	3516657.76	241.521	0.627 	1	1
4	1143548.578	3516657.747	241.54	0.722 	1	1
5	1143548.56	3516657.735	241.542	0.780 	1	1
6	1143548.539	3516657.723	241.561	0.884 	1	1
7	1143548.512	3516657.707	241.546	0.973 	1	1
8	1143548.484	3516657.686	241.573	1.096 	1	1
9	1143548.457	3516657.67	241.555	1.189 	1	1
10	1143548.424	3516657.646	241.524	1.316 	1	1
11	1143548.372	3516657.621	241.541	1.462 	1	1
12	1143548.335	3516657.596	241.539	1.583 	1	1
13	1143548.296	3516657.571	241.546	1.690 	1	1
14	1143548.252	3516657.546	241.571	1.804 	1	1
15	1143548.212	3516657.519	241.576	1.899 	1	1
16	1143548.159	3516657.482	241.603	1.985 	1	1
17	1143548.109	3516657.448	241.611	2.085 	1	1
18	1143548.046	3516657.419	241.667	2.176 	1	1
19	1143547.993	3516657.383	241.729	2.267 	1	1
20	1143547.932	3516657.343	241.745	2.398 	1	1
21	1143547.83	3516657.297	241.802	2.613 	1	1
22	1143547.795	3516657.268	241.847	2.702 	1	1
23	1143547.73	3516657.221	241.905	2.788 	1	1
24	1143547.655	3516657.183	241.958	2.871 	1	1
25	1143547.581	3516657.143	242.031	2.944 	1	1
26	1143547.508	3516657.096	242.092	3.033 	1	1
27	1143547.432	3516657.055	242.136	3.110 	1	1
28	1143547.351	3516657.005	242.202	3.188 	1	1
29	1143547.278	3516656.956	242.266	3.263 	1	1
30	1143547.193	3516656.906	242.265	3.358 	1	1
31	1143547.078	3516656.854	242.286	3.533 	1	1
32	1143547.016	3516656.806	242.377	3.609 	1	1
33	1143546.923	3516656.753	242.453	3.661 	1	1
34	1143546.831	3516656.694	242.517	3.715 	1	1
35	1143546.739	3516656.641	242.562	3.779 	1	1
36	1143546.647	3516656.582	242.68	3.834 	1	1
37	1143546.553	3516656.529	242.753	3.887 	1	1
